year,l1,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,occupation_x,occupation_y,l4,l3,l2,l0
2014,Computer and mathematical occupations,4029,17650,3006,14904,1020,8011,Computer and information research scientists,Computer and information research scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and information research scientists
2014,Construction and extraction occupations,5755,14661,5637,14158,119,0,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
2014,"Education, training, and library occupations",6595,8097,1763,6367,4831,7793,Postsecondary teachers,Postsecondary teachers,Total,"Management, professional, and related occupations",Professional and related occupations,Postsecondary teachers
2014,"Farming, fishing, and forestry occupations",775,810,626,437,151,755,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers",Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
2014,Food preparation and serving related occupations,4018,5365,2139,4403,1875,4402,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2014,Healthcare practitioners and technical occupations,6438,23944,1660,11157,4772,19274,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2014,Healthcare support occupations,2368,3288,307,528,2060,2559,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2014,"Installation, maintenance, and repair occupations",4231,13459,4085,13501,147,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2014,Legal occupations,1314,3508,591,1915,722,3247,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2014,"Life, physical, and social science occupations",1125,9468,659,7981,468,4420,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2014,Management occupations,11881,26615,6941,26757,4936,16712,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
2014,Office and administrative support occupations,13703,23981,3804,11899,9898,18278,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2014,Personal care and service occupations,2326,5967,632,2655,1694,2740,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2014,Production occupations,7406,15950,5473,14535,1928,5497,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2014,Protective service occupations,2741,9131,2211,8313,529,1944,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2014,Sales and related occupations,9626,10796,5413,10939,4217,7832,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2014,Transportation and material moving occupations,6845,11634,5927,10094,920,1998,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
2015,Architecture and engineering occupations,2655,17209,2273,17416,382,2275,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
2015,"Arts, design, entertainment, sports, and media occupations",1643,11130,931,5399,712,4248,Artists and related workers,Artists and related workers,Total,"Management, professional, and related occupations",Professional and related occupations,Artists and related workers
2015,Building and grounds cleaning and maintenance occupations,3603,3246,2330,3439,1274,1407,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers,Total,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
2015,Business and financial operations occupations,5943,24374,2686,18252,3254,16189,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes",Total,"Management, professional, and related occupations","Management, business, and financial operations occupations","Agents and business managers of artists, performers, and athletes"
2015,Community and social service occupations,2144,6186,775,2872,1367,4089,Counselors,Counselors,Total,"Management, professional, and related occupations",Professional and related occupations,Counselors
2015,Computer and mathematical occupations,4151,18148,3142,16999,1006,8377,Computer and information research scientists,Computer and information research scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and information research scientists
2015,Construction and extraction occupations,5721,13361,5588,13412,135,0,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
2015,"Education, training, and library occupations",6886,8330,1850,4655,5033,8059,Postsecondary teachers,Postsecondary teachers,Total,"Management, professional, and related occupations",Professional and related occupations,Postsecondary teachers
2015,"Farming, fishing, and forestry occupations",809,931,636,460,174,866,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers",Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
2015,Food preparation and serving related occupations,4124,5362,2133,4379,1993,3904,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2015,Healthcare practitioners and technical occupations,6568,24831,1637,10347,4927,17685,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2015,Healthcare support occupations,2394,3354,320,526,2076,2554,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2015,"Installation, maintenance, and repair occupations",4303,14854,4158,14923,142,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2015,Legal occupations,1345,5535,624,1914,721,3373,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2015,"Life, physical, and social science occupations",1174,10048,662,7369,516,4221,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2015,Management occupations,12479,28562,7329,28532,5146,18010,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
2015,Office and administrative support occupations,13832,24005,3937,13258,9899,18623,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2015,Personal care and service occupations,2427,6566,665,2727,1762,3538,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2015,Production occupations,7472,16157,5466,14611,1994,6697,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2015,Protective service occupations,2728,8449,2182,6939,547,2210,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2015,Sales and related occupations,9727,11284,5424,11727,4303,8385,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2015,Transportation and material moving occupations,6955,11030,5999,9998,954,2083,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
