occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
"Media and communication equipment workers, all other",0,0,0,0,0,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Media and communication equipment workers, all other"
Healthcare practitioners and technical occupations,6438,1033,1663,1256,4775,983,2014,,,,,
Chiropractors,18,0,16,0,2,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Chiropractors
Dentists,61,1908,38,0,22,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dentists
Dietitians and nutritionists,86,919,6,0,80,875,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dietitians and nutritionists
Optometrists,28,0,17,0,10,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Optometrists
Pharmacists,214,1995,103,2176,111,1902,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Pharmacists
Physicians and surgeons,759,1661,475,2002,284,1246,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physicians and surgeons
Physician assistants,71,1619,22,0,49,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physician assistants
Podiatrists,2,0,1,0,0,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Podiatrists
Audiologists,11,0,2,0,9,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Audiologists
Occupational therapists,80,1146,7,0,72,1139,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Occupational therapists
Physical therapists,193,1387,74,1478,118,1307,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physical therapists
Radiation therapists,12,0,5,0,7,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Radiation therapists
Recreational therapists,10,0,3,0,7,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Recreational therapists
Respiratory therapists,95,1037,38,0,57,906,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Respiratory therapists
Speech-language pathologists,101,1086,3,0,98,1089,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Speech-language pathologists
Exercise physiologists,2,0,1,0,1,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Exercise physiologists
"Therapists, all other",119,908,28,0,91,863,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Therapists, all other"
Veterinarians,38,0,9,0,29,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Veterinarians
Registered nurses,2309,1090,245,1190,2064,1076,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Registered nurses
Nurse anesthetists,24,0,9,0,15,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse anesthetists
Nurse midwives,2,0,0,0,2,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse midwives
Nurse practitioners,100,1683,9,0,90,1682,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse practitioners
"Health diagnosing and treating practitioners, all other",7,0,1,0,6,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Health diagnosing and treating practitioners, all other"
Clinical laboratory technologists and technicians,264,824,70,878,194,818,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Clinical laboratory technologists and technicians
Dental hygienists,87,957,5,0,82,951,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dental hygienists
Diagnostic related technologists and technicians,256,991,70,1156,187,940,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Diagnostic related technologists and technicians
Emergency medical technicians and paramedics,207,754,152,791,55,709,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Emergency medical technicians and paramedics
Health practitioner support technologists and technicians,443,618,93,618,350,618,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Health practitioner support technologists and technicians
Licensed practical and licensed vocational nurses,506,751,55,868,451,737,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Licensed practical and licensed vocational nurses
Medical records and health information technicians,120,790,16,0,104,796,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Medical records and health information technicians
"Opticians, dispensing",28,0,11,0,17,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Opticians, dispensing"
Miscellaneous health technologists and technicians,92,820,33,0,58,690,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Miscellaneous health technologists and technicians
Other healthcare practitioners and technical occupations,93,1000,43,0,50,930,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Other healthcare practitioners and technical occupations
Service occupations,15019,505,7622,583,7398,461,2014,,,,,
Healthcare support occupations,2368,498,307,560,2060,492,2014,,,,,
"Nursing, psychiatric, and home health aides",1364,472,164,528,1200,466,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
Occupational therapy assistants and aides,8,0,3,0,5,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Occupational therapy assistants and aides
Physical therapist assistants and aides,50,693,23,0,26,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Physical therapist assistants and aides
Massage therapists,41,0,11,0,30,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Massage therapists
Dental assistants,185,535,6,0,179,535,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Dental assistants
Medical assistants,412,546,29,0,383,539,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Medical assistants
Medical transcriptionists,32,0,1,0,31,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Medical transcriptionists
Pharmacy aides,24,0,7,0,17,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Pharmacy aides
Veterinary assistants and laboratory animal caretakers,26,0,4,0,22,0,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Veterinary assistants and laboratory animal caretakers
