occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Postal service clerks,129,978,66,1014,63,892,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Postal service clerks
Postal service mail carriers,303,979,205,1017,98,892,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Postal service mail carriers
"Postal service mail sorters, processors, and processing machine operators",57,918,33,0,24,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Postal service mail sorters, processors, and processing machine operators"
"Production, planning, and expediting clerks",226,812,110,916,116,722,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Production, planning, and expediting clerks"
"Shipping, receiving, and traffic clerks",481,562,340,571,141,543,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Shipping, receiving, and traffic clerks"
Stock clerks and order fillers,992,492,655,488,337,501,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Stock clerks and order fillers
"Weighers, measurers, checkers, and samplers, recordkeeping",60,596,32,0,28,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Weighers, measurers, checkers, and samplers, recordkeeping"
Secretaries and administrative assistants,2143,654,84,757,2059,651,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Secretaries and administrative assistants
Computer operators,116,724,59,853,56,651,2011,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer operators
Data entry keyers,280,595,49,0,231,597,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Data entry keyers
Word processors and typists,109,599,10,0,99,594,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Word processors and typists
Desktop publishers,1,0,1,0,0,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Desktop publishers
Insurance claims and policy processing clerks,236,660,39,0,197,647,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Insurance claims and policy processing clerks
"Mail clerks and mail machine operators, except postal service",79,521,38,0,41,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Mail clerks and mail machine operators, except postal service"
"Office clerks, general",794,604,121,712,673,594,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Office clerks, general"
"Office machine operators, except computer",31,0,11,0,20,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Office machine operators, except computer"
Proofreaders and copy markers,7,0,1,0,6,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Proofreaders and copy markers
Statistical assistants,12,0,4,0,8,0,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Statistical assistants
"Office and administrative support workers, all other",387,679,101,792,286,645,2011,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Office and administrative support workers, all other"
"Natural resources, construction, and maintenance occupations",9965,732,9574,740,391,515,2011,,,,,
"Farming, fishing, and forestry occupations",775,430,625,445,150,371,2011,,,,,
"First-line supervisors of farming, fishing, and forestry workers",38,0,35,0,3,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
Agricultural inspectors,23,0,11,0,12,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Agricultural inspectors
Animal breeders,3,0,2,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Animal breeders
"Graders and sorters, agricultural products",85,379,32,0,53,363,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products"
Miscellaneous agricultural workers,565,419,488,427,77,370,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers
Fishers and related fishing workers,13,0,13,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Fishers and related fishing workers
Hunters and trappers,1,0,1,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Hunters and trappers
Forest and conservation workers,8,0,4,0,4,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Forest and conservation workers
Logging workers,39,0,39,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Farming, fishing, and forestry occupations",Logging workers
Construction and extraction occupations,5031,717,4937,718,95,612,2011,,,,,
First-line supervisors of construction trades and extraction workers,482,992,467,1001,15,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
Boilermakers,18,0,18,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Boilermakers
"Brickmasons, blockmasons, and stonemasons",96,710,95,706,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons"
Carpenters,737,630,727,630,10,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Carpenters
"Carpet, floor, and tile installers and finishers",110,579,109,581,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Carpet, floor, and tile installers and finishers"
"Cement masons, concrete finishers, and terrazzo workers",59,651,59,651,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers"
Construction laborers,862,586,846,587,15,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Construction laborers
"Paving, surfacing, and tamping equipment operators",19,0,18,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Paving, surfacing, and tamping equipment operators"
Pile-driver operators,1,0,1,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Pile-driver operators
Operating engineers and other construction equipment operators,345,809,343,809,2,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Operating engineers and other construction equipment operators
"Drywall installers, ceiling tile installers, and tapers",101,507,100,509,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers"
Electricians,542,857,539,855,3,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Electricians
Glaziers,40,0,40,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Glaziers
Insulation workers,41,0,39,0,2,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Insulation workers
"Painters, construction and maintenance",266,544,249,555,17,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Painters, construction and maintenance"
Paperhangers,2,0,2,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Paperhangers
"Pipelayers, plumbers, pipefitters, and steamfitters",417,851,406,853,11,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Pipelayers, plumbers, pipefitters, and steamfitters"
Plasterers and stucco masons,13,0,13,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Plasterers and stucco masons
Reinforcing iron and rebar workers,5,0,5,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Reinforcing iron and rebar workers
Roofers,143,523,141,520,3,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Roofers
Sheet metal workers,107,805,104,805,3,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Sheet metal workers
Structural iron and steel workers,66,870,66,870,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Structural iron and steel workers
Solar photovoltaic installers,2,0,2,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Solar photovoltaic installers
"Helpers, construction trades",50,469,47,0,3,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Helpers, construction trades"
Construction and building inspectors,54,906,52,919,2,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Construction and building inspectors
Elevator installers and repairers,30,0,30,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Elevator installers and repairers
Fence erectors,32,0,32,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Fence erectors
Hazardous materials removal workers,25,0,24,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Hazardous materials removal workers
Highway maintenance workers,96,708,94,711,2,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Highway maintenance workers
Rail-track laying and maintenance equipment operators,8,0,8,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Rail-track laying and maintenance equipment operators
Septic tank servicers and sewer pipe cleaners,9,0,9,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners
Miscellaneous construction and related workers,28,0,28,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Miscellaneous construction and related workers
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",42,0,42,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
"Earth drillers, except oil and gas",17,0,17,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Earth drillers, except oil and gas"
"Explosives workers, ordnance handling experts, and blasters",10,0,10,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters"
Mining machine operators,70,1022,69,1010,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Mining machine operators
"Roof bolters, mining",12,0,12,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Roof bolters, mining"
"Roustabouts, oil and gas",18,0,17,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,"Roustabouts, oil and gas"
Helpers--extraction workers,8,0,8,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Helpers--extraction workers
Other extraction workers,49,0,49,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and extraction occupations,Other extraction workers
"Installation, maintenance, and repair occupations",4159,806,4013,807,146,751,2011,,,,,
"First-line supervisors of mechanics, installers, and repairers",327,947,306,936,21,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
"Computer, automated teller, and office machine repairers",237,811,215,812,22,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Computer, automated teller, and office machine repairers"
Radio and telecommunications equipment installers and repairers,139,898,127,883,12,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Radio and telecommunications equipment installers and repairers
Avionics technicians,16,0,15,0,2,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Avionics technicians
"Electric motor, power tool, and related repairers",26,0,25,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Electric motor, power tool, and related repairers"
"Electrical and electronics installers and repairers, transportation equipment",7,0,7,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Electrical and electronics installers and repairers, transportation equipment"
"Electrical and electronics repairers, industrial and utility",15,0,14,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Electrical and electronics repairers, industrial and utility"
"Electronic equipment installers and repairers, motor vehicles",14,0,14,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Electronic equipment installers and repairers, motor vehicles"
Electronic home entertainment equipment installers and repairers,32,0,30,0,2,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Electronic home entertainment equipment installers and repairers
Security and fire alarm systems installers,44,0,44,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Security and fire alarm systems installers
Aircraft mechanics and service technicians,143,988,139,990,4,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Aircraft mechanics and service technicians
Automotive body and related repairers,107,624,107,625,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Automotive body and related repairers
Automotive glass installers and repairers,11,0,10,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Automotive glass installers and repairers
Automotive service technicians and mechanics,653,714,645,718,8,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Automotive service technicians and mechanics
Bus and truck mechanics and diesel engine specialists,286,801,286,802,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Bus and truck mechanics and diesel engine specialists
Heavy vehicle and mobile equipment service technicians and mechanics,182,822,179,822,3,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Heavy vehicle and mobile equipment service technicians and mechanics
Small engine mechanics,32,0,31,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Small engine mechanics
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",73,463,71,463,2,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
Control and valve installers and repairers,25,0,24,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Control and valve installers and repairers
"Heating, air conditioning, and refrigeration mechanics and installers",281,793,279,795,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Heating, air conditioning, and refrigeration mechanics and installers"
Home appliance repairers,27,0,23,0,4,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Home appliance repairers
Industrial and refractory machinery mechanics,425,868,415,870,10,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Industrial and refractory machinery mechanics
"Maintenance and repair workers, general",359,758,347,756,11,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Maintenance and repair workers, general"
"Maintenance workers, machinery",34,0,31,0,3,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Maintenance workers, machinery"
Millwrights,57,892,56,897,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Millwrights
Electrical power-line installers and repairers,111,1116,111,1116,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Electrical power-line installers and repairers
Telecommunications line installers and repairers,192,915,185,926,7,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Telecommunications line installers and repairers
Precision instrument and equipment repairers,62,898,52,914,10,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Precision instrument and equipment repairers
Wind turbine service technicians,2,0,2,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Wind turbine service technicians
"Coin, vending, and amusement machine servicers and repairers",29,0,27,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Coin, vending, and amusement machine servicers and repairers"
Commercial divers,1,0,1,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Commercial divers
Locksmiths and safe repairers,17,0,17,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Locksmiths and safe repairers
Manufactured building and mobile home installers,7,0,7,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Manufactured building and mobile home installers
Riggers,15,0,12,0,3,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Riggers
Signal and track switch repairers,5,0,5,0,0,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",Signal and track switch repairers
"Helpers--installation, maintenance, and repair workers",18,0,17,0,1,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Helpers--installation, maintenance, and repair workers"
"Other installation, maintenance, and repair workers",149,671,137,718,12,0,2011,Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations","Other installation, maintenance, and repair workers"
"Production, transportation, and material moving occupations",13333,609,10730,651,2603,485,2011,,,,,
Production occupations,7058,605,5241,667,1817,483,2011,,,,,
First-line supervisors of production and operating workers,654,888,530,929,124,665,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,First-line supervisors of production and operating workers
"Aircraft structure, surfaces, rigging, and systems assemblers",19,0,13,0,7,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Aircraft structure, surfaces, rigging, and systems assemblers"
"Electrical, electronics, and electromechanical assemblers",148,521,75,591,73,449,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Electrical, electronics, and electromechanical assemblers"
Engine and other machine assemblers,30,0,25,0,4,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Engine and other machine assemblers
Structural metal fabricators and fitters,33,0,31,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Structural metal fabricators and fitters
Miscellaneous assemblers and fabricators,758,519,473,566,285,479,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Miscellaneous assemblers and fabricators
Bakers,125,448,63,471,63,416,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Bakers
"Butchers and other meat, poultry, and fish processing workers",281,504,215,515,66,479,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Butchers and other meat, poultry, and fish processing workers"
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,0,5,0,3,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Food and tobacco roasting, baking, and drying machine operators and tenders"
Food batchmakers,63,554,35,0,28,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Food batchmakers
Food cooking machine operators and tenders,17,0,12,0,5,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Food cooking machine operators and tenders
"Food processing workers, all other",104,534,78,544,25,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Food processing workers, all other"
Computer control programmers and operators,70,770,65,781,5,0,2011,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer control programmers and operators
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",11,0,9,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
"Forging machine setters, operators, and tenders, metal and plastic",5,0,4,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Forging machine setters, operators, and tenders, metal and plastic"
"Rolling machine setters, operators, and tenders, metal and plastic",9,0,7,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Rolling machine setters, operators, and tenders, metal and plastic"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",92,591,78,608,15,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,0,4,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",60,643,57,641,3,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",15,0,15,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,0,3,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Milling and planing machine setters, operators, and tenders, metal and plastic"
Machinists,393,755,377,767,16,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Machinists
"Metal furnace operators, tenders, pourers, and casters",19,0,18,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Metal furnace operators, tenders, pourers, and casters"
"Model makers and patternmakers, metal and plastic",4,0,3,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Model makers and patternmakers, metal and plastic"
"Molders and molding machine setters, operators, and tenders, metal and plastic",47,0,35,0,12,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Molders and molding machine setters, operators, and tenders, metal and plastic"
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,0,3,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Multiple machine tool setters, operators, and tenders, metal and plastic"
Tool and die makers,61,920,59,930,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Tool and die makers
"Welding, soldering, and brazing workers",461,679,426,695,36,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Welding, soldering, and brazing workers"
"Heat treating equipment setters, operators, and tenders, metal and plastic",5,0,4,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Heat treating equipment setters, operators, and tenders, metal and plastic"
"Layout workers, metal and plastic",8,0,7,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Layout workers, metal and plastic"
"Plating and coating machine setters, operators, and tenders, metal and plastic",15,0,13,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Plating and coating machine setters, operators, and tenders, metal and plastic"
"Tool grinders, filers, and sharpeners",6,0,6,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Tool grinders, filers, and sharpeners"
"Metal workers and plastic workers, all other",356,561,275,583,81,517,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Metal workers and plastic workers, all other"
Prepress technicians and workers,30,0,14,0,16,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Prepress technicians and workers
Printing press operators,186,613,155,646,31,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Printing press operators
Print binding and finishing workers,13,0,7,0,6,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Print binding and finishing workers
Laundry and dry-cleaning workers,115,412,52,447,64,386,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Laundry and dry-cleaning workers
"Pressers, textile, garment, and related materials",37,0,13,0,24,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Pressers, textile, garment, and related materials"
Sewing machine operators,112,403,28,0,84,398,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Sewing machine operators
Shoe and leather workers and repairers,8,0,7,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Shoe and leather workers and repairers
Shoe machine operators and tenders,2,0,1,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Shoe machine operators and tenders
"Tailors, dressmakers, and sewers",46,0,13,0,33,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Tailors, dressmakers, and sewers"
Textile bleaching and dyeing machine operators and tenders,4,0,4,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Textile bleaching and dyeing machine operators and tenders
"Textile cutting machine setters, operators, and tenders",6,0,4,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Textile cutting machine setters, operators, and tenders"
"Textile knitting and weaving machine setters, operators, and tenders",8,0,2,0,6,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Textile knitting and weaving machine setters, operators, and tenders"
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",19,0,8,0,11,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",2,0,2,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
Fabric and apparel patternmakers,5,0,2,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Fabric and apparel patternmakers
Upholsterers,34,0,30,0,4,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Upholsterers
"Textile, apparel, and furnishings workers, all other",15,0,9,0,5,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Textile, apparel, and furnishings workers, all other"
